PlotName,Year,EVI,DEM_2016,Aspect_2016,Slope_2016,LandCover,AgeClss,HghtCls,CrwnDns,SppComp
Bloomfield+C12,2017,0.3984,78,135,0.337614715,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+C14,2017,0.3822,78,90,3.18E-15,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+C2,2017,0.41895,76,135,1.350224495,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+C4,2017,0.3497,76,135,0.337614715,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+C6,2017,0.41995,77,108,0.754894495,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+C8,2017,0.4234,77,90,0,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+D1,2017,0.387,74,141,3.054369926,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+E1,2017,0.3827,75,124,3.438912392,Mixed,81-100-years,9.6-12.5-meters,26-50%,bSwB
Bloomfield+F1,2017,0.37795,76,158,2.569502831,Mixed,21-40-years,3.6-6.5-meters,51-75%,wSbF
Bloomfield+F11,2017,0.4108,79,135,0.337614715,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+F13,2017,0.39125,79,108,0.754894495,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+F3,2017,0.39915,78,117,2.134299994,Mixed,21-40-years,3.6-6.5-meters,51-75%,wSbF
Bloomfield+F5,2017,0.4073,78,98,1.687604904,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+F7,2017,0.419,78,117,1.067520261,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+F9,2017,0.4329,79,117,1.067520261,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+G14,2017,0.4066,80,108,0.754894495,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+H14,2017,0.40275,80,135,0.337614715,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
