"","PlotName","SiteName","SiteCode","POINT_X","POINT_Y","NDMI2016","NDMI2017","coords.x1","coords.x2","coords.x3","optional"
"151","Unicorn+N13","Unicorn","UNI",-54.0139453422,48.6316718631,0.405000001192093,0.367000013589859,720000.997923813,5390815.99828174,0,TRUE
"152","Unicorn+M14","Unicorn","UNI",-54.0147593878,48.6319089293,0.453233331441879,0.425999999046326,719939.997860502,5390839.99827883,0,TRUE
"153","Unicorn+N11","Unicorn","UNI",-54.0130593297,48.6319637899,0.397399991750717,0.373650014400482,720064.997941659,5390850.99834012,0,TRUE
"154","Unicorn+L14","Unicorn","UNI",-54.0149900942,48.632139857,0.442333340644836,0.425650000572205,719921.997935256,5390864.99825864,0,TRUE
"155","Unicorn+N9","Unicorn","UNI",-54.0119282779,48.632267342,0.507633328437805,0.477649986743927,720146.997866399,5390887.99829607,0,TRUE
"156","Unicorn+L12","Unicorn","UNI",-54.014176624,48.6323526946,0.455633342266083,0.429199993610382,719980.997931879,5390890.99831739,0,TRUE
"157","Unicorn+N7","Unicorn","UNI",-54.0110345321,48.6324600768,0.505833327770233,0.47664999961853,720211.997910807,5390911.9982852,0,TRUE
"158","Unicorn+L10","Unicorn","UNI",-54.013277048,48.6326442704,0.386033326387405,0.359649986028671,720045.997861145,5390925.99829062,0,TRUE
"159","Unicorn+N5","Unicorn","UNI",-54.0102752576,48.6326742943,0.422399997711182,0.361799985170364,720266.997864598,5390937.99832756,0,TRUE
"160","Unicorn+L8","Unicorn","UNI",-54.0121329572,48.6329384893,0.448733329772949,0.410800009965897,720128.997903001,5390961.99834897,0,TRUE
"161","Unicorn+N3","Unicorn","UNI",-54.0092119423,48.6329795795,0.456233322620392,0.416150003671646,720343.997923224,5390974.9982681,0,TRUE
"162","Unicorn+I14","Unicorn","UNI",-54.0154561133,48.6332136774,0.446000009775162,0.421400010585785,719882.997934574,5390982.99835672,0,TRUE
"163","Unicorn+N1","Unicorn","UNI",-54.0083800977,48.6332728783,0.418000012636185,0.40149998664856,720403.997897593,5391009.99833106,0,TRUE
"164","Unicorn+H14","Unicorn","UNI",-54.0161753114,48.6334482728,0.464300006628036,0.385450005531311,719828.997897759,5391006.99829249,0,TRUE
"165","Unicorn+L6","Unicorn","UNI",-54.0112107756,48.6333824229,0.444166660308838,0.364749997854233,720194.99791296,5391013.99825241,0,TRUE
"166","Unicorn+I12","Unicorn","UNI",-54.01460544,48.6335965088,0.443733334541321,0.339549988508224,719943.997889069,5391027.99827258,0,TRUE
